,,,4,MECANICA,1,Camion,DELTA,142183,150046,JDA00V11670022408,,1802622,BLANCO,23.08.06
,,,5,MECANICA,1,Camion,DELTA,142178,150047,JDA00V11670022425,,1802784,BLANCO,23.08.06
,,,6,MECANICA,1,Camion,DELTA,142170,150048,JDA00V11670022443,,1802812,BLANCO,23.08.06
,,,7,TOP-MEC.,1,Cmta-Rural,TERIOS,202740,850195,JDAJ210G071014039,,1656768,ROJO,09.11.06
,,,8,TOP-MEC.,1,Cmta-Rural,TERIOS,142182,150049,JDAJ210G071014319,,1657514,GRIS,23.08.06
,,,9,TOP-MEC.,1,Cmta-Rural,TERIOS,204120,850196,JDAJ210G071014546,,1660120,PLATA,09.11.06
,,,10,TOP-AUT.,1,Cmta-Rural,TERIOS,193348,850197,JDAJ210G071012888,,1650906,NEGRO,23.08.06
,,,11,TOP-AUT.,1,Cmta-Rural,TERIOS,022597,198,JDAJ210G071012884,,1650961,PLATA,23.08.06
,,,12,MECANICA,1,Camion,DELTA,142176,150050,JDA00V11670022385,,1802424,BLANCO,23.08.06
,,,13,MECANICA,1,Camion,DELTA,142177,150051,JDA00V11670022445,,1802837,BLANCO,23.08.06
,,,14,MECANICA,1,Camion,DELTA,142174,150052,JDA00V11670022462,,1802935,BLANCO,23.08.06
,,,15,MECANICA,1,Camion,DELTA,142180,150053,JDA00V11670022491,,1803130,BLANCO,23.08.06
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VP. PACIFC EXPLORER   LLEGO 01.10.06,,,,,,            PRODUCCION AGOSTO 26    UNIDADES  (ADUAMERICA),,,,
,,,,B/LJPUKB03994,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VERSION,,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG
,,,,TRANSM.,,,,,,,,,,TALLER
,,,1,MECANICA,,Camion,DELTA,173557,250151,JDA00V11670022664,,1803944,BLANCO,02.10.06
,,,2,TOP-MEC.,,Cmta-Rural,TERIOS,173565,250181,JDAJ210G071016471,,1675416,NEGRO,02.10.06
,,,3,TOP-MEC.,,Cmta-Rural,TERIOS,173566,250182,JDAJ210G071016672,,1676182,GRIS,02.10.06
,,,4,TOP-MEC.,,Cmta-Rural,TERIOS,200012,850371,JDAJ210G071016713,,1678814,NEGRO,07.11.06
,,,5,TOP-MEC.,,Cmta-Rural,TERIOS,211681,800169,JDAJ210G071016847,,1676606,GRIS,21.11.06
,,,6,TOP-MEC.,,Cmta-Rural,TERIOS,173569,250183,JDAJ210G071016853,,1676431,AZUL,02.10.06
,,,7,TOP-MEC.,,Cmta-Rural,TERIOS,013494,636,JDAJ210G071017048,,1679028,AZUL,22.01.07
,,,8,TOP-MEC.,,Cmta-Rural,TERIOS,173570,250184,JDAJ210G071017182,,1679751,ROJO,02.10.06
,,,9,TOP-MEC.,,Cmta-Rural,TERIOS,216103,850375,JDAJ210G071017189,,1679895,PLATA,06.12.06
,,,10,TOP-MEC.,,Cmta-Rural,TERIOS,216104,850376,JDAJ210G071017387,,1680869,PLATA,04.12.06
,,,11,TOP-MEC.,,Cmta-Rural,TERIOS,224329,800169,JDAJ210G071017576,,1681715,PLATA,04.12.06
,,,12,TOP-MEC.,,Cmta-Rural,TERIOS,228014,850378,JDAJ210G071017367,,1682081,ROJO,13.12.06
,,,13,TOP-AUTOM,,Cmta-Rural,TERIOS,213715,850379,JDAJ210G071017129,,1679949,ROJO,04.12.06
,,,14,TOP-AUTOM,,Cmta-Rural,TERIOS,229950,850380,JDAJ210G071017218,,1680179,PLATA,13.12.06
,,,15,TOP-AUTOM,,Cmta-Rural,TERIOS,216106,850381,JDAJ210G071017228,,1680559,NEGRO,04.12.06
,,,16,TOP-AUTOM,,Cmta-Rural,TERIOS,213720,850382,JDAJ210G071017541,,1682590,GRIS,25.11.06
,,,17,MECANICA,,Camion,DELTA,173558,250185,JDA00V11670022774,,1804322,BLANCO,02.10.06
,,,18,MECANICA,,Camion,DELTA,173559,250186,JDA00V11670022809,,1804455,BLANCO,02.10.06
,,,19,MECANICA,,Camion,DELTA,173560,250187,JDA00V11670022824,,1804511,BLANCO,02.10.06
,,,20,MECANICA,,Camion,DELTA,173562,250188,JDA00V11670022835,,1804567,BLANCO,02.10.06
,,,21,MECANICA,,Camion,DELTA,173564,250189,JDA00V11670022845,,1804620,BLANCO,02.10.06
,,,22,MECANICA,,Camion,DELTA,229707,850383,JDA00V11670022739,,1804226,BLANCO,13.12.06
,,,23,MECANICA,,Camion,DELTA,005492,637,JDA00V11670022857,,1804691,BLANCO,12.01.07
,,,24,MECANICA,,Camion,DELTA,005533,638,JDA00V11670022874,,1804735,BLANCO,12.01.07
,,,25,MECANICA,,Camion,DELTA,005529,639,JDA00V11670022891,,1804772,BLANCO,12.01.07
,,,26,MECANICA,,Camion,DELTA,017491,640,JDA00V11670022902,,1804823,BLANCO,25.01.07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VP. CENTAURUS LEADER   LLEGO 27.10.06,,,,, ,PRODUCCION SETIEMBRE 25 UNIDADES,,,,
,,,,B/L NYKS004957159,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VERSION,,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG
,,,,TRANSM.,,,,,,,,,,TALLER
,,,1,TOP-MEC,,Cmta-Rural,TERIOS,203115,850560,JDAJ210G071020331,,1697918,NEGRO,09.11.06
,,,2,TOP-MEC,,Cmta-Rural,TERIOS,206751,850561,JDAJ210G071020484,,1700275,GRIS,21.11.06
,,,3,TOP-MEC,,Cmta-Rural,TERIOS,218101,850562,JDAJ210G071020593,,1700940,GRIS,25.11.06
,,,4,TOP-MEC,,Cmta-Rural,TERIOS,216156,850563,JDAJ210G071020637,,1701593,BLANCO,04.12.06
,,,5,TOP-MEC,,Cmta-Rural,TERIOS,216158,850564,JDAJ210G071020784,,1702175,NEGRO,04.12.06
,,,6,TOP-MEC,,Cmta-Rural,TERIOS,203442,850565,JDAJ210G071021347,,1706827,VERDE,09.11.06
,,,7,TOP-MEC,,Cmta-Rural,TERIOS,022704,641,JDAJ210G071021343,,1706956,ROJO,02.02.07
,,,8,TOP-MEC,,Cmta-Rural,TERIOS,022708,642,JDAJ210G071021482,,1707155,AZUL,31.01.07
,,,9,TOP-MEC,,Cmta-Rural,TERIOS,203130,850568,JDAJ210G071021498,,1707118,AMARILLO,09.11.06
,,,10,TOP-MEC,,Cmta-Rural,TERIOS,225323,850569,JDAJ210G071021475,,1707162,PLATA,13.12.06
,,,11,SAFETY-MEC,,Cmta-Rural,TERIOS,195599,250204,JDAJ210G071021360,,1706948,PLATA,28.10.06
,,,12,SAFETY-MEC,,Cmta-Rural,TERIOS,203131,850570,JDAJ210G071021506,,17071112,GRIS,09.11.06
,,,13,TOP-AUT.,,Cmta-Rural,TERIOS,216159,850571,JDAJ210G071020664,,1702320,GRIS,04.12.06
,,,14,TOP-AUT.,,Cmta-Rural,TERIOS,203441,850572,JDAJ210G071020804,,1703480,AZUL,09.11.06
,,,15,TOP-AUT.,,Cmta-Rural,TERIOS,216163,850573,JDAJ210G071021200,,1706903,NEGRO,04.12.06
,,,16,TOP-AUT.,,Cmta-Rural,TERIOS,053464,643,JDAJ210G071021663,,1709492,PLATA,24.03.07
,,,17,SAFETY-AUT.,,Cmta-Rural,TERIOS,216165,850575,JDAJ210G071020790,,1703874,GRIS,04.12.06
,,,18,SAFETY-AUT.,,Cmta-Rural,TERIOS,203443,850576,JDAJ210G071021005,,1699113,PLATA,09.11.06
,,,19,SAFETY-AUT.,,Cmta-Rural,TERIOS,206748,850577,JDAJ210G071021635,,1709484,NEGRO,27.11.06
,,,20,SAFETY-AUT.,,Cmta-Rural,TERIOS,216170,850578,JDAJ210G071021887,,1711197,ROJO,04.12.06
,,,21,MECANICA,,Automovil,SIRION,195585,250206,JDAM301S071045604,,1703099,NEGRO,28.10.06
,,,22,MECANICA,,Automovil,SIRION,195590,250207,JDAM301S071045651,,1703390,ROJO,28.10.06
,,,23,AUTOMATICA,,Automovil,SIRION,195587,250208,JDAM301S071045438,,1702045,PLATA,28.10.06
,,,24,MECANICA,,Camion,DELTA,076955,644,JDA00V11670023187,,1806528,BLANCO,18.04.07
,,,25,MECANICA,,Camion,DELTA,016804,645,JDA00V11670023364,,1807292,BLANCO,25.01.07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VP. LAPIZ ARROW LLEGO:  27.11.06,,,,,,PRODUCCION OCTUBRE 20 UNIDADES,,,,
,,,,B/L V2A196555,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VERSION,,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG
,,,,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,
,,,1,TOP-MEC.,,Cmta-Rural,TERIOS,218216,250252,JDAJ210G071023379,,1722587,GRIS,27.11.06
,,,2,TOP-MEC.,,Cmta-Rural,TERIOS,227792,850706,JDAJ210G071023391,x,1722427,NEGRO,13.12.06
,,,3,TOP-MEC.,,Cmta-Rural,TERIOS,227857,850707,JDAJ210G071023667,,1724188,ROJO,14.12.06
,,,4,TOP-MEC.,,Cmta-Rural,TERIOS,022712,657,JDAJ210G071024314,,1727422,PLATA,31.01.07
,,,5,TOP-MEC.,,Cmta-Rural,TERIOS,229957,850709,JDAJ210G071024623,,1729824,ROJO,14.12.06
,,,6,TOP-MEC.,,Cmta-Rural,TERIOS,022709,656,JDAJ210G071024823,,1730587,AZUL,31.01.07
,,,7,TOP-MEC.,,Cmta-Rural,TERIOS,017498,655,JDAJ210G071026039,,1739346,PLATA,26.01.07
,,,8,SAFETY-MEC,,Cmta-Rural,TERIOS,218217,250253,JDAJ210G071024698,,1731261,ROJO,27.11.06
,,,9,SAFETY-MEC,,Cmta-Rural,TERIOS,218221,250254,JDAJ210G071025302,,1735142,NEGRO,27.11.06
,,,10,TOP-AUTOM.,,Cmta-Rural,TERIOS,017494,654,JDAJ210G071025086,,1733609,ROJO,25.01.07
,,,11,TOP-AUTOM.,,Cmta-Rural,TERIOS,066262,653,JDAJ210G071025282,,1735868,PLATA,02.04.07
,,,12,TOP-AUTOM.,,Cmta-Rural,TERIOS,077817,652,JDAJ210G071025541,,1736870,NEGRO,25.04.07
,,,13,TOP-AUTOM.,,Cmta-Rural,TERIOS,077821,651,JDAJ210G071025299,,1738185,GRIS,25.04.07
,,,14,SAFETY-AUTOM,,Cmta-Rural,TERIOS,218219,250255,JDAJ210G071025176,,1734273,ROJO,27.11.06
,,,15,SAFETY-AUTOM,,Cmta-Rural,TERIOS,045920,650,JDAJ210G071025452,,1736713,PLATA,08.03.07
,,,16,SAFETY-AUTOM,,Cmta-Rural,TERIOS,227002,850717,JDAJ210G071025457,,1736699,GRIS,13.12.06
,,,17,SAFETY-AUTOM,,Cmta-Rural,TERIOS,064622,649,JDAJ210G071025459,,1736692,NEGRO,30.03.07
,,,18,MECANICA,,Camion,DELTA,022706,648,JDA00V11670023533,,1808205,BLANCO,02.02.07
,,,19,MECANICA,,Camion,DELTA,022703,647,JDA00V11670023633,,1808670,BLANCO,31.01.07
,,,20,MECANICA,,Camion,DELTA,022702,646,JDA00V11670023728,,1809165,BLANCO,31.01.07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VP. LAPIS ARROW   LLEGO 24.12.06,,,,,,PRODUCCION NOVIEMBRE 23 UNIDADES,,,,
,,,,B/L KKLUJPN333951,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VERSION,,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG
,,,,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,
,,,1,TOP-MEC,,Cmta-Rural,TERIOS,003549,800256,JDAJ210G071026291,,1741568,GRIS,09.01.07
,,,2,TOP-MEC,,Cmta-Rural,TERIOS,017529,301,JDAJ210G071026494,,1742545,NEGRO,26.01.07
,,,3,TOP-MEC,,Cmta-Rural,TERIOS,017536,302,JDAJ210G071026628,,1743878,ROJO,25.01.07
,,,4,MECANICA,,Camion,DELTA,017564,303,JDA00V11670023846,,1809692,BLANCO,25.01.07
,,,5,TOP-MEC,,Cmta-Rural,TERIOS,008375,304,JDAJ210G071027599,,1748876,NEGRO,15.01.07
,,,6,TOP-MEC,,Cmta-Rural,TERIOS,016809,305,JDAJ210G071028758,,1754082,PLATA,29.01.07
,,,7,TOP-MEC,,Cmta-Rural,TERIOS,236252,250322,JDAJ210G071028076,,1726041,GRIS,25.12.06
,,,8,TOP-MEC,,Cmta-Rural,TERIOS,003561,306,JDAJ210G071028999,,1691047,ROJO,08.01.07
,,,9,SAFETY-MEC.,,Cmta-Rural,TERIOS,029814,307,JDAJ210G071027836,,1724798,NEGRO,14.02.07
,,,10,SAFETY-MEC.,,Cmta-Rural,TERIOS,236253,250323,JDAJ210G071027838,,1724904,GRIS,25.12.06
,,,11,SAFETY-MEC.,,Cmta-Rural,TERIOS,008048,308,JDAJ210G071028012,,1726020,GRIS,15.01.07
,,,12,SAFETY-MEC.,,Cmta-Rural,TERIOS,024906,309,JDAJ210G071028260,,1749537,PLATA,14.02.07
,,,13,SAFETY-MEC.,,Cmta-Rural,TERIOS,064619,310,JDAJ210G071028436,,1752904,PLATA,04.04.07
,,,14,SAFETY-MEC.,,Cmta-Rural,TERIOS,056658,311,JDAJ210G071028937,,1671240,ROJO,24.03.07
,,,15,TOP-AUTOM.,,Cmta-Rural,TERIOS,066257,312,JDAJ210G071027696,,1719312,NEGRO,02.04.07
,,,16,TOP-AUTOM.,,Cmta-Rural,TERIOS,032176,314,JDAJ210G071028621,,1755213,GRIS,24.02.07
,,,17,SAFETY-AUTOM.,,Cmta-Rural,TERIOS,037201,313,JDAJ210G071028254,,1752549,GRIS,24.02.07
,,,18,SAFETY-AUTOM.,,Cmta-Rural,TERIOS,066259,315,JDAJ210G071028950,,1756878,ROJO,18.04.07
,,,19,SAFETY-AUTOM.,,Cmta-Rural,TERIOS,030399,316,JDAJ210G071029045,,1757399,PLATA,16.02.07
,,,20,MECANICA,,Camion,DELTA,037203,317,JDA00V11670023947,,1810104,BLANCO,24.02.07
,,,21,MECANICA,,Camion,DELTA,037215,318,JDA00V11670024085,,1810785,BLANCO,24.02.07
,,,22,MECANICA,,Camion,DELTA,017566,319,JDA00V11670024112,,1810924,BLANCO,25.01.07
,,,23,MECANICA,,Camion,DELTA,017567,320,JDA00V11670024145,,1811060,BLANCO,25.01.07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VP. ST. ANGELO    LLEGO 06.02.07,,,,,,PRODUCCION DICIEMBRE 13 UNIDADES,,,,
,,,,B/L JPNGO-000371643-5,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VERSION,,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG
,,,,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,
,,,1,MECANICA,,camion,DELTA,045649,4065,JDA00V11670024250,,1811506,BLANCO,08.03.07
,,,2,TOP-MECANICA,,cmta-rural,TERIOS,078554,4536,JDAJ210G071031553,,1778837,PLATA,
,,,3,TOP-MECANICA,,cmta-rural,TERIOS,078569,4537,JDAJ210G071031913,,1782908,ROJO,25.04.07
,,,4,TOP-MECANICA,,cmta-rural,TERIOS,025588,1921,JDAJ210G071032185,,1785109,GRIS,14.02.07
,,,5,TOP-AUTOM.,,cmta-rural,TERIOS,078634,6913,JDAJ210G071032304,,1786326,PLATA,
,,,6,TOP-AUTOM.,,cmta-rural,TERIOS,078564,4539,JDAJ210G071032064,,1784252,GRIS,
,,,7,SAFETY-AUTOM.,,cmta-rural,TERIOS,037268,3277,JDAJ210G071032073,,1784289,GRIS,24.02.07
,,,8,SAFETY-AUTOM.,,cmta-rural,TERIOS,087607,4540,JDAJ210G071032203,,1785085,ROJO,02.05.07
,,,9,SAFETY-AUTOM.,,cmta-rural,TERIOS,082587,4541,JDAJ210G071032464,,1785500,NEGRO,
,,,10,MECANICA,,camion,DELTA,045647,4066,JDA00V11670024306,,1811778,BLANCO,08.03.07
,,,11,MECANICA,,camion,DELTA,045648,4067,JDA00V11670024316,,1811825,BLANCO,08.03.07
,,,12,MECANICA,,camion,DELTA,045668,4068,JDA00V11670024335,,1811928,BLANCO,08.03.07
,,,13,MECANICA,,camion,DELTA,045650,4069,JDA00V11670024421,,1812285,BLANCO,08.03.07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VP. GRAND NEPTUNE   LLEGO 19.02.07,,,,,,PRODUCCION ENERO 16 UNIDADES,,,,
,,,,B/L NYKS004987608,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VERSION,,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG
,,,,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,
,,,1,SAFETY-MEC.,,Cmta-rural,TERIOS 4x4,113309,3523,JDAJ210G071032733,,1789987,ROJO,04.06.07
,,,2,SAFETY-AUTOM.,,Cmta-rural,TERIOS 4x4,183959,LIBERADO,JDAJ210G071033005,,1791423,PLATA,29.08.07
,,,3,MECANICA,,Camion,DELTA 400,063625,3525,JDA00V11670024577,,1812950,BLANCO,
,,,4,TOP-MEC.,,Cmta-rural,TERIOS 4x4,047471,3526,JDAJ210G071033631,,1796941,GRIS,08.03.07
,,,5,TOP-MEC.,,Cmta-rural,TERIOS 4x4,087710,3527,JDAJ210G071033624,,1795426,PLATA,02.05.07
,,,6,TOP-MEC.,,Cmta-rural,TERIOS 4x4,062250,3528,JDAJ210G071033855,,1798555,NEGRO,31.03.07
,,,7,TOP-MEC.,,Cmta-rural,TERIOS 4x4,087682,3529,JDAJ210G071034080,,1799560,PLATA,02.05.07
,,,8,TOP-MEC.,,Cmta-rural,TERIOS 4x4,128865,3530,JDAJ210G071034274,,1801220,ROJO,16.10.08
,,,9,TOP-MEC.,,Cmta-rural,TERIOS 4x4,087688,3531,JDAJ210G071034491,,1802851,NEGRO,02.05.07
,,,10,TOP-MEC.,,Cmta-rural,TERIOS 4x4,069971,3532,JDAJ210G071034446,,1802220,GRIS,17.04.07
,,,11,SAFETY-MEC.,,Cmta-rural,TERIOS 4x4,042278,3533,JDAJ210G071033818,,1798353,PLATA,28.02.07
,,,12,SAFETY-MEC.,,Cmta-rural,TERIOS 4x4,042277,3534,JDAJ210G071034818,,1804720,GRIS,28.02.07
,,,13,TOP-AUTOM.,,Cmta-rural,TERIOS 4x4,113331,3535,JDAJ210G071034576,,1803075,ROJO,01.06.07
,,,14,MECANICA,,Camion,DELTA 400,078100,3536,JDA00V11670024709,,1813483,BLANCO,25.04.07
,,,15,MECANICA,,Camion,DELTA 400,078111,3537,JDA00V11670024801,,1813951,BLANCO,25.04.07
,,,16,MECANICA,,Camion,DELTA 400,065570,3538,JDA00V11670024810,,1813992,BLANCO,31.03.07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,                                    ,VP. CSAV RIO IMPERIAL   LLEGO :  27.03.07,,,,,,PRODUCCION FEBRERO 30 UNIDADES,,,,
,,,,B/L V2A196865,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VERSION,,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG
,,,,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,
,,,1,TOP-MEC.,,Cmta-rural,TERIOS 4X4,121872,5805,JDAJ210G071035476,,1809550,PLATA,16.06.07
,,,2,TOP-MEC.,,Cmta-rural,TERIOS 4X4,079264,5806,JDAJ210G071035478,,1809534,NEGRO,25.04.07
,,,3,TOP-MEC.,,Cmta-rural,TERIOS 4X4,089909,5807,JDAJ210G071035626,,1810372,GRIS,04.05.07
,,,4,SAFETY-MEC.,,Cmta-rural,TERIOS 4X4,067278,5808,JDAJ210G071034912,,1804921,PLATA,04.04.07
,,,5,SAFETY-MEC.,,Cmta-rural,TERIOS 4X4,067288,5809,JDAJ210G071035380,,1808913,GRIS,04.04.07
,,,6,MECANICA,,Camion,DELTA 400,061480,5204,JDA00V11670024857,,1814242,BLANCO,02.04.07
,,,7,MECANICA,,Camion,DELTA 400,061484,5208,JDA00V11670024911,,1814480,BLANCO,02.04.07
,,,8,ALLOY-MEC.,,Cmta-rural,TER 4X2,061485,5210,JDAJ200G071006688,,1765002,PLATA,02.04.07
,,,9,ALLOY-MEC.,,Cmta-rural,TER 4X2,061488,5211,JDAJ200G071006700,,1815459,ROJO,02.04.07
,,,10,ALLOY-MEC.,,Cmta-rural,TER 4X2,061490,5213,JDAJ200G071006705,,1815829,AMARILLO,02.04.07
,,,11,ALLOY-MEC.,,Cmta-rural,TER 4X2,061492,5214,JDAJ200G071006801,,1818348,GRIS,02.04.07
,,,12,ALLOY-MEC.,,Cmta-rural,TER 4X2,127186,6101,JDAJ200G071006895,,1821714,ROJO,25.06.07
,,,13,ALLOY-MEC.,,Cmta-rural,TER 4X2,113355,6102,JDAJ200G071006958,,1823997,AZUL,01.06.07
,,,14,ALLOY-MEC.,,Cmta-rural,TER 4X2,093389,6132,JDAJ200G071006983,,1824526,PLATA,15.05.07
,,,15,ALLOY-MEC.,,Cmta-rural,TER 4X2,135528,6133,JDAJ200G071007000,,1824910,ROJO,13.07.07
,,,16,ALLOY-MEC.,,Cmta-rural,TER 4X2,069920,6054,JDAJ200G071007012,,1825414,GRIS,17.04.07
,,,17,ALLOY-MEC.,,Cmta-rural,TER 4X2,078536,6134,JDAJ200G071007050,,1826556,GRIS,
,,,18,ALLOY-MEC.,,Cmta-rural,TER 4X2,136462,6135,JDAJ200G071007084,,1827990,PLATA,13.07.07
,,,19,ALLOY-MEC.,,Cmta-rural,TER 4X2,088149,6136,JDAJ200G071007094,,1828266,GRIS,04.05.07
,,,20,ALLOY-MEC.,,Cmta-rural,TER 4X2,164475,13320,JDAJ200G071007095,,1828412,ROJO,04.08.07
,,,21,ALLOY-MEC.,,Cmta-rural,TER 4X2,078548,6138,JDAJ200G071007115,,1829002,PLATA,
,,,22,BASIC-AUTOM.,,Cmta-rural,TER 4X2,071297,6139,JDAJ200G071006757,,1816758,GRIS,17.04.07
,,,23,BASIC-AUTOM.,,Cmta-rural,TER 4X2,061495,5215,JDAJ200G071006965,,1801356,ROJO,02.04.07
,,,24,BASIC-AUTOM.,,Cmta-rural,TER 4X2,078539,6141,JDAJ200G071007082,,1827228,PLATA,
,,,25,BASIC-AUTOM.,,Cmta-rural,TER 4X2,103927,6142,JDAJ200G071007125,,1828383,AZUL,23.05.07
,,,26,MECANICA,,Camion,DELTA 250,061501,5216,JDA00V57000022210,,0661977,BLANCO,28.03.07
,,,27,MECANICA,,Camion,DELTA 300,061505,5217,JDA00V58000020464,,0661865,BLANCO,28.03.07
,,,28,MECANICA,,Camion,DELTA 300,061507,5218,JDA00V58000020466,,0661886,BLANCO,28.03.07
,,,29,MECANICA,,Camion,DELTA 300,061510,5219,JDA00V58000020468,,0661901,BLANCO,28.03.07
,,,30,MECANICA,,Camion,DELTA 300,061511,5220,JDA00V58000020472,,0661971,BLANCO,28.03.07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VP. CSAV RIO IMPERIAL   LLEGO :  23.04.07,,,,,,PRODUCCION MARZO 38 UNIDADES,,,,
,,,,B/L V2A196865,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,VERSION,,TIPO,MODELO,POLIZA,# ORD.,CHASIS,,MOTOR,COLOR,F/LLEG
,,,,TRANSM.,,,,,,,,,,TALLER
,,,,,,,,,,,,,,
,,,1,BASIC-AUTOM,,Cmta-rural,TER 4X2,102252,7130,JDAJ200G071007293,,1833009,PLATA,21.05.07
,,,2,BASIC-AUTOM,,Cmta-rural,TER 4X2,103858,7131,JDAJ200G071007298,,1832988,GRIS,23.05.07
,,,3,MECANICA,,Camion,DELTA 250,080170,6348,JDA00V57000022220,,0662037,BLANCO,23.04.07
,,,4,MECANICA,,Camion,DELTA 300,080168,6786,JDA00V58000020475,,0662016,BLANCO,23.04.07
,,,5,ALLOY-MEC.,,Cmta-rural,TER 4X2,113349,7132,JDAJ200G071007538,,1842842,PLATA,01.06.07
,,,6,ALLOY-MEC.,,Cmta-rural,TER 4X2,103771,7133,JDAJ200G071007567,,1844278,GRIS,22.05.07
,,,7,ALLOY-MEC.,,Cmta-rural,TER 4X2,113323,7134,JDAJ200G071007613,,1846168,ROJO,01.06.07
,,,8,ALLOY-MEC.,,Cmta-rural,TER 4X2,101505,7135,JDAJ200G071007674,,1848403,GRIS,21.05.07
